,GDPC1,GDP_Change,LN_GDP,GDP_Growth,GDP_Growth_1Q_Ann,GDP_Growth_2Q_Ann,GDP_Growth_3Q_Ann,GDP_Growth_4Q_Ann,GDP_Growth_5Q_Ann,GDP_Growth_6Q_Ann,GDP_Growth_7Q_Ann,GDP_Growth_8Q_Ann,RSPREAD
1960-01-31,3123.1620000000003,68.05799999999999,8.046601229136558,0.022032315557105164,8.812926222842066,5.191280335236925,3.203823255275751,4.805449798954875,5.318983346493553,5.973919781197168,6.426550119356632,5.952048295905588,0.613333333333334
1960-04-30,3111.31,-11.852000000000317,8.042799138349206,-0.0038020907873512755,-1.5208363149405102,3.6460449539507778,2.9539081185111136,2.0226583627216854,3.540192576175798,4.17901340292121,4.903240338891785,5.433126815069489,1.26666666666667
1960-07-31,3119.0570000000002,7.747000000000298,8.045285991528985,0.002486853179778592,0.9947412719114368,-0.2630475215145367,2.7622770599376643,2.4641164068611943,1.8170749445596357,3.115950692131738,3.7241173842055275,4.414677955519242,1.47333333333333
1960-10-31,3081.3,-37.75700000000006,8.03310686483987,-0.012179126689115805,-4.871650675646322,-1.9384547018674425,-1.7992485728917986,0.8537951260416676,0.996962990359691,0.7022873411919761,1.9748647824491579,2.6496463767240463,1.58
1961-01-31,3102.2509999999997,20.950999999999567,8.03988325600136,0.006776391161491091,2.7105564645964364,-1.0805471055249427,-0.3887843130461496,-0.6717973135197397,1.2251473937526214,1.282561902732482,0.9891829302497562,2.0668262427175677,1.4366666666666699
1961-04-30,3159.9179999999997,57.666999999999916,8.058301356877179,0.01841810087581841,7.367240350327364,5.0388984074619,1.7353820464258265,1.550221852797229,0.9360102192496811,2.2488295531817455,2.151801680960322,1.7864401077594572,1.48666666666667
1961-07-31,3212.6059999999998,52.6880000000001,8.074837724768065,0.016536367890886083,6.614547156354433,6.990893753340899,5.564114657092745,2.955173323907978,2.56308691350867,1.8824330421004734,2.872503496492129,2.709644865384586,1.6766666666666699
1961-10-31,3277.717,65.11100000000033,8.094902422446898,0.020064697678833454,8.025879071533382,7.3202131139439075,7.335888859405061,6.179555760702904,3.9693144734330588,3.4735522731794553,2.7600681891623173,3.5166754433722858,1.51333333333333
1962-01-31,3336.7529999999997,59.0359999999996,8.112753457432301,0.017851034985403302,7.140413994161321,7.583146532847351,7.2602800740163795,7.287020143094125,6.371727407394587,4.4978310602211025,3.9973896618911504,3.3076114147871927,1.2933333333333301
1962-04-30,3372.7059999999997,35.952999999999975,8.123470668499637,0.010717211067335697,4.286884426934279,5.7136492105478,6.484392497542994,6.516931162245854,6.686992999862156,6.02425357731787,4.467695826894413,4.033576507521541,1.15666666666667
1962-07-31,3404.833,32.12700000000041,8.132951171859549,0.009480503359911907,3.792201343964763,4.039542885449521,5.0731665883534545,5.811344709148436,5.9719851985896355,6.2045277238792576,5.70538897255314,4.383259016528207,1.15
1962-10-31,3418.046,13.212999999999738,8.136824321747644,0.003873149888095284,1.5492599552381137,2.6707306496014382,3.209448575379052,4.192189930074619,4.958927758366372,5.234864324697716,5.539489471216236,5.1858728453887615,1.09
1963-01-31,3456.08,38.034000000000106,8.14789027780418,0.011065956056535597,4.426382422614239,2.9878211889261763,3.2559479072723723,3.5136820371878486,4.239028428582543,4.870170202407683,5.119366910114362,5.400351090140987,0.9866666666666658
1963-04-30,3501.134,45.05400000000009,8.16084219500084,0.012951917196659224,5.18076687866369,4.803574650638964,3.7188030855053475,3.7371526501202013,3.8470990054830168,4.395984836929401,4.914541156158541,5.1270419061830275,1.02333333333333
1963-07-31,3569.4790000000003,68.34500000000025,8.180174925748293,0.019332730747454008,7.733092298981603,6.456929588822646,5.780080533419844,4.722375388874411,4.536340579892482,4.494764554399448,4.87271447436543,5.266860049011424,0.74
1963-10-31,3594.954,25.47499999999991,8.187286474523908,0.007111548775615262,2.8446195102461047,5.288855904613854,5.252826229297133,5.046215277626409,4.34682421314875,4.254387068284752,4.259029548091828,4.619202603850514,0.623333333333334
1964-01-31,3672.708,77.7539999999999,8.20868454361235,0.02139806908844122,8.559227635376487,5.701923572811296,6.378979814868066,6.079426580816971,5.748817749176425,5.048891450186707,4.869364292155001,4.79655430900241,0.65
1964-04-30,3716.382,43.67399999999998,8.220505893358592,0.01182134974624205,4.72853989849682,6.6438837669366535,5.3774623480398045,5.966369835775254,5.809249244352941,5.578771440729824,5.003126942802437,4.8517612429477275,0.7233333333333342
1964-07-31,3766.862,50.48000000000002,8.2339975730948,0.013491679736208795,5.396671894483518,5.062605896490169,6.228146476118942,5.382264734650732,5.8524302475169065,5.740486352708038,5.552757219837495,5.052320061762572,0.6966666666666679
1964-10-31,3780.219,13.356999999999971,8.237537223443315,0.003539650348514556,1.4158601394058223,3.40626601694467,3.8470239774620536,5.025074891940662,4.58898381560175,5.113001896165059,5.122682607950578,5.0356450847835355,0.48999999999999894
1965-01-31,3873.452,93.23300000000017,8.261901378101541,0.024364154658226056,9.745661863290422,5.580761001348122,5.519397965726588,5.321683448919146,5.969192286210614,5.448430156883196,5.774810462897254,5.700555014868058,0.313333333333333
1965-04-30,3926.406,52.95399999999972,8.275479782632784,0.013578404531243038,5.431361812497215,7.588511837893819,5.530961271731154,5.4973889274192445,5.3436191216347595,5.8795538739250475,5.445991821970913,5.731879381597249,0.33333333333333304
1965-07-31,4006.152,79.7460000000001,8.295586458591314,0.020106675958530218,8.042670383412087,6.737016097954651,7.739898019733242,6.158888549651387,6.006445218617813,5.793460998597648,6.188570518137482,5.77057664215106,0.37999999999999895
1965-10-31,4100.630999999999,94.47899999999936,8.318896143289658,0.023309684698343602,9.323873879337441,8.683272131374764,7.599302025082248,8.135891984634291,6.791885615588598,6.5593499954044185,6.29780569584619,6.580483438287477,0.306666666666667
1966-01-31,4201.891,101.26000000000022,8.34328994103994,0.02439379775028172,9.757519100112688,9.540696489725065,9.041354454287406,8.138856293839858,8.46021740772997,7.28615786300928,7.016231296077028,6.730269871379502,0.16
